filename,label
/kaggle/input/agricultural-pests-image-dataset/earthworms/earthworms (135).jpg,earthworms
/kaggle/input/agricultural-pests-image-dataset/ants/ants (250).jpg,ants
/kaggle/input/agricultural-pests-image-dataset/bees/bees (323).jpg,bees
/kaggle/input/agricultural-pests-image-dataset/moth/moth (176).jpg,moth
/kaggle/input/agricultural-pests-image-dataset/moth/moth (418).jpg,moth
/kaggle/input/agricultural-pests-image-dataset/ants/ants (50).jpg,ants
/kaggle/input/agricultural-pests-image-dataset/earwig/earwig (100).jpg,earwig
/kaggle/input/agricultural-pests-image-dataset/beetle/beetle (344).jpg,beetle
/kaggle/input/agricultural-pests-image-dataset/moth/moth (408).jpg,moth
/kaggle/input/agricultural-pests-image-dataset/ants/ants (99).jpg,ants
/kaggle/input/agricultural-pests-image-dataset/wasp/wasp (783).jpg,wasp
/kaggle/input/agricultural-pests-image-dataset/weevil/Weevil (210).jpg,weevil
/kaggle/input/agricultural-pests-image-dataset/slug/slug (129).jpg,slug
/kaggle/input/agricultural-pests-image-dataset/ants/ants (85).jpg,ants
/kaggle/input/agricultural-pests-image-dataset/wasp/wasp (513).jpg,wasp
/kaggle/input/agricultural-pests-image-dataset/bees/bees (298).jpg,bees
/kaggle/input/agricultural-pests-image-dataset/wasp/wasp (984).jpg,wasp
/kaggle/input/agricultural-pests-image-dataset/snail/snail (453).jpg,snail
/kaggle/input/agricultural-pests-image-dataset/moth/moth (68).jpg,moth
/kaggle/input/agricultural-pests-image-dataset/ants/ants (406).jpg,ants
/kaggle/input/agricultural-pests-image-dataset/moth/moth (454).jpg,moth
/kaggle/input/agricultural-pests-image-dataset/slug/slug (360).jpg,slug
/kaggle/input/agricultural-pests-image-dataset/moth/moth (66).jpg,moth
/kaggle/input/agricultural-pests-image-dataset/catterpillar/catterpillar (437).jpg,catterpillar
/kaggle/input/agricultural-pests-image-dataset/bees/bees (405).jpg,bees
/kaggle/input/agricultural-pests-image-dataset/weevil/Weevil (436).jpg,weevil
/kaggle/input/agricultural-pests-image-dataset/slug/slug (71).jpg,slug
/kaggle/input/agricultural-pests-image-dataset/ants/ants (300).jpg,ants
/kaggle/input/agricultural-pests-image-dataset/moth/moth (204).jpg,moth
/kaggle/input/agricultural-pests-image-dataset/wasp/wasp (541).jpg,wasp
/kaggle/input/agricultural-pests-image-dataset/grasshopper/grasshopper (313).jpg,grasshopper
/kaggle/input/agricultural-pests-image-dataset/earthworms/earthworms (67).jpg,earthworms
/kaggle/input/agricultural-pests-image-dataset/wasp/wasp (945).jpg,wasp
/kaggle/input/agricultural-pests-image-dataset/weevil/Weevil (340).jpg,weevil
/kaggle/input/agricultural-pests-image-dataset/moth/moth (363).jpg,moth
/kaggle/input/agricultural-pests-image-dataset/snail/snail (459).jpg,snail
/kaggle/input/agricultural-pests-image-dataset/catterpillar/catterpillar (367).jpg,catterpillar
/kaggle/input/agricultural-pests-image-dataset/slug/slug (241).jpg,slug
/kaggle/input/agricultural-pests-image-dataset/wasp/wasp (754).jpg,wasp
/kaggle/input/agricultural-pests-image-dataset/grasshopper/grasshopper (464).jpg,grasshopper
/kaggle/input/agricultural-pests-image-dataset/moth/moth (110).jpg,moth
/kaggle/input/agricultural-pests-image-dataset/moth/moth (394).jpg,moth
/kaggle/input/agricultural-pests-image-dataset/catterpillar/catterpillar (430).jpg,catterpillar
/kaggle/input/agricultural-pests-image-dataset/moth/moth (4).jpg,moth
/kaggle/input/agricultural-pests-image-dataset/catterpillar/catterpillar (287).jpg,catterpillar
/kaggle/input/agricultural-pests-image-dataset/grasshopper/grasshopper (405).jpg,grasshopper
/kaggle/input/agricultural-pests-image-dataset/grasshopper/grasshopper (41).jpg,grasshopper
/kaggle/input/agricultural-pests-image-dataset/earthworms/earthworms (54).jpg,earthworms
/kaggle/input/agricultural-pests-image-dataset/grasshopper/grasshopper (276).jpg,grasshopper
/kaggle/input/agricultural-pests-image-dataset/grasshopper/grasshopper (244).jpg,grasshopper
/kaggle/input/agricultural-pests-image-dataset/earthworms/earthworms (20).jpg,earthworms
/kaggle/input/agricultural-pests-image-dataset/beetle/beetle (42).jpg,beetle
/kaggle/input/agricultural-pests-image-dataset/beetle/beetle (52).jpg,beetle
/kaggle/input/agricultural-pests-image-dataset/earthworms/earthworms (274).jpg,earthworms
/kaggle/input/agricultural-pests-image-dataset/slug/slug (34).jpg,slug
/kaggle/input/agricultural-pests-image-dataset/snail/snail (411).jpg,snail
/kaggle/input/agricultural-pests-image-dataset/ants/ants (159).jpg,ants
/kaggle/input/agricultural-pests-image-dataset/wasp/wasp (518).jpg,wasp
/kaggle/input/agricultural-pests-image-dataset/grasshopper/grasshopper (397).jpg,grasshopper
/kaggle/input/agricultural-pests-image-dataset/grasshopper/grasshopper (429).jpg,grasshopper
/kaggle/input/agricultural-pests-image-dataset/slug/slug (208).jpg,slug
/kaggle/input/agricultural-pests-image-dataset/wasp/wasp (797).jpg,wasp
/kaggle/input/agricultural-pests-image-dataset/wasp/wasp (960).jpg,wasp
/kaggle/input/agricultural-pests-image-dataset/bees/bees (367).jpg,bees
/kaggle/input/agricultural-pests-image-dataset/weevil/Weevil (293).jpg,weevil
/kaggle/input/agricultural-pests-image-dataset/earwig/earwig (15).jpg,earwig
/kaggle/input/agricultural-pests-image-dataset/moth/moth (427).jpg,moth
/kaggle/input/agricultural-pests-image-dataset/ants/ants (330).jpg,ants
/kaggle/input/agricultural-pests-image-dataset/grasshopper/grasshopper (478).jpg,grasshopper
/kaggle/input/agricultural-pests-image-dataset/snail/snail (46).jpg,snail
/kaggle/input/agricultural-pests-image-dataset/wasp/wasp (744).jpg,wasp
/kaggle/input/agricultural-pests-image-dataset/ants/ants (63).jpg,ants
/kaggle/input/agricultural-pests-image-dataset/earwig/earwig (1).png,earwig
/kaggle/input/agricultural-pests-image-dataset/weevil/Weevil (385).jpg,weevil
/kaggle/input/agricultural-pests-image-dataset/grasshopper/grasshopper (158).jpg,grasshopper
/kaggle/input/agricultural-pests-image-dataset/ants/ants (309).jpg,ants
/kaggle/input/agricultural-pests-image-dataset/ants/ants (240).jpg,ants
/kaggle/input/agricultural-pests-image-dataset/beetle/beetle (4).jpg,beetle
/kaggle/input/agricultural-pests-image-dataset/moth/moth (413).jpg,moth
/kaggle/input/agricultural-pests-image-dataset/ants/ants (261).jpg,ants
/kaggle/input/agricultural-pests-image-dataset/ants/ants (492).jpg,ants
/kaggle/input/agricultural-pests-image-dataset/moth/moth (479).jpg,moth
/kaggle/input/agricultural-pests-image-dataset/moth/moth (81).jpg,moth
/kaggle/input/agricultural-pests-image-dataset/weevil/Weevil (216).jpg,weevil
/kaggle/input/agricultural-pests-image-dataset/wasp/wasp (924).jpg,wasp
/kaggle/input/agricultural-pests-image-dataset/grasshopper/grasshopper (19).jpg,grasshopper
/kaggle/input/agricultural-pests-image-dataset/wasp/wasp (814).jpg,wasp
/kaggle/input/agricultural-pests-image-dataset/bees/bees (465).jpg,bees
/kaggle/input/agricultural-pests-image-dataset/bees/bees (195).jpg,bees
/kaggle/input/agricultural-pests-image-dataset/beetle/beetle (356).jpg,beetle
/kaggle/input/agricultural-pests-image-dataset/wasp/wasp (690).jpg,wasp
/kaggle/input/agricultural-pests-image-dataset/ants/ants (27).jpg,ants
/kaggle/input/agricultural-pests-image-dataset/beetle/beetle (291).jpg,beetle
/kaggle/input/agricultural-pests-image-dataset/beetle/beetle (271).jpg,beetle
/kaggle/input/agricultural-pests-image-dataset/catterpillar/catterpillar (113).jpg,catterpillar
/kaggle/input/agricultural-pests-image-dataset/snail/snail (153).jpg,snail
/kaggle/input/agricultural-pests-image-dataset/weevil/Weevil (339).jpg,weevil
/kaggle/input/agricultural-pests-image-dataset/ants/ants (226).jpg,ants
/kaggle/input/agricultural-pests-image-dataset/moth/moth (314).jpg,moth
/kaggle/input/agricultural-pests-image-dataset/slug/slug (32).jpg,slug
/kaggle/input/agricultural-pests-image-dataset/wasp/wasp (944).jpg,wasp
/kaggle/input/agricultural-pests-image-dataset/moth/moth (298).jpg,moth
/kaggle/input/agricultural-pests-image-dataset/beetle/beetle (229).jpg,beetle
/kaggle/input/agricultural-pests-image-dataset/ants/ants (112).jpg,ants
/kaggle/input/agricultural-pests-image-dataset/beetle/beetle (86).jpg,beetle
/kaggle/input/agricultural-pests-image-dataset/weevil/Weevil (19).jpg,weevil
/kaggle/input/agricultural-pests-image-dataset/weevil/Weevil (263).jpg,weevil
/kaggle/input/agricultural-pests-image-dataset/moth/moth (222).jpg,moth
/kaggle/input/agricultural-pests-image-dataset/grasshopper/grasshopper (466).jpg,grasshopper
/kaggle/input/agricultural-pests-image-dataset/beetle/beetle (402).jpg,beetle
/kaggle/input/agricultural-pests-image-dataset/earwig/earwig (163).jpg,earwig
/kaggle/input/agricultural-pests-image-dataset/beetle/beetle (255).jpg,beetle
/kaggle/input/agricultural-pests-image-dataset/catterpillar/catterpillar (348).jpg,catterpillar
/kaggle/input/agricultural-pests-image-dataset/earthworms/earthworms (144).jpg,earthworms
/kaggle/input/agricultural-pests-image-dataset/slug/slug (128).jpg,slug
/kaggle/input/agricultural-pests-image-dataset/ants/ants (381).jpg,ants
/kaggle/input/agricultural-pests-image-dataset/slug/slug (299).jpg,slug
/kaggle/input/agricultural-pests-image-dataset/grasshopper/grasshopper (295).jpg,grasshopper
/kaggle/input/agricultural-pests-image-dataset/earwig/earwig (327).jpg,earwig
/kaggle/input/agricultural-pests-image-dataset/slug/slug (275).jpg,slug
/kaggle/input/agricultural-pests-image-dataset/weevil/Weevil (191).jpg,weevil
/kaggle/input/agricultural-pests-image-dataset/beetle/beetle (350).jpg,beetle
/kaggle/input/agricultural-pests-image-dataset/ants/ants (69).jpg,ants
/kaggle/input/agricultural-pests-image-dataset/moth/moth (34).jpg,moth
/kaggle/input/agricultural-pests-image-dataset/earwig/earwig (447).jpg,earwig
/kaggle/input/agricultural-pests-image-dataset/snail/snail (435).jpg,snail
/kaggle/input/agricultural-pests-image-dataset/bees/bees (96).jpg,bees
/kaggle/input/agricultural-pests-image-dataset/weevil/Weevil (407).jpg,weevil
/kaggle/input/agricultural-pests-image-dataset/wasp/wasp (996).jpg,wasp
/kaggle/input/agricultural-pests-image-dataset/ants/ants (475).jpg,ants
/kaggle/input/agricultural-pests-image-dataset/moth/moth (134).jpg,moth
/kaggle/input/agricultural-pests-image-dataset/snail/snail (91).jpg,snail
/kaggle/input/agricultural-pests-image-dataset/moth/moth (284).jpg,moth
/kaggle/input/agricultural-pests-image-dataset/earwig/earwig (373).jpg,earwig
/kaggle/input/agricultural-pests-image-dataset/beetle/beetle (172).jpg,beetle
/kaggle/input/agricultural-pests-image-dataset/slug/slug (7).jpg,slug
/kaggle/input/agricultural-pests-image-dataset/slug/slug (162).jpg,slug
/kaggle/input/agricultural-pests-image-dataset/wasp/wasp (885).jpg,wasp
/kaggle/input/agricultural-pests-image-dataset/catterpillar/catterpillar (83).jpg,catterpillar
/kaggle/input/agricultural-pests-image-dataset/ants/ants (16).jpg,ants
/kaggle/input/agricultural-pests-image-dataset/bees/bees (360).jpg,bees
/kaggle/input/agricultural-pests-image-dataset/earthworms/earthworms (318).jpg,earthworms
/kaggle/input/agricultural-pests-image-dataset/beetle/beetle (366).jpg,beetle
/kaggle/input/agricultural-pests-image-dataset/beetle/beetle (33).jpg,beetle
/kaggle/input/agricultural-pests-image-dataset/earwig/earwig (243).jpg,earwig
/kaggle/input/agricultural-pests-image-dataset/slug/slug (301).jpg,slug
/kaggle/input/agricultural-pests-image-dataset/earwig/earwig (234).jpg,earwig
/kaggle/input/agricultural-pests-image-dataset/snail/snail (2).jpg,snail
/kaggle/input/agricultural-pests-image-dataset/moth/moth (336).jpg,moth
/kaggle/input/agricultural-pests-image-dataset/bees/bees (51).jpg,bees
/kaggle/input/agricultural-pests-image-dataset/earthworms/earthworms (185).jpg,earthworms
/kaggle/input/agricultural-pests-image-dataset/earwig/earwig (176).jpg,earwig
/kaggle/input/agricultural-pests-image-dataset/snail/snail (376).jpg,snail
/kaggle/input/agricultural-pests-image-dataset/snail/snail (351).jpg,snail
/kaggle/input/agricultural-pests-image-dataset/ants/ants (388).jpg,ants
/kaggle/input/agricultural-pests-image-dataset/beetle/beetle (31).jpg,beetle
/kaggle/input/agricultural-pests-image-dataset/grasshopper/grasshopper (341).jpg,grasshopper
/kaggle/input/agricultural-pests-image-dataset/slug/slug (119).jpg,slug
/kaggle/input/agricultural-pests-image-dataset/catterpillar/catterpillar (253).jpg,catterpillar
/kaggle/input/agricultural-pests-image-dataset/grasshopper/grasshopper (324).jpg,grasshopper
/kaggle/input/agricultural-pests-image-dataset/bees/bees (133).jpg,bees
/kaggle/input/agricultural-pests-image-dataset/beetle/beetle (148).jpg,beetle
/kaggle/input/agricultural-pests-image-dataset/moth/moth (33).jpg,moth
/kaggle/input/agricultural-pests-image-dataset/wasp/wasp (665).jpg,wasp
/kaggle/input/agricultural-pests-image-dataset/bees/bees (413).jpg,bees
/kaggle/input/agricultural-pests-image-dataset/grasshopper/grasshopper (26).jpg,grasshopper
/kaggle/input/agricultural-pests-image-dataset/snail/snail (158).jpg,snail
/kaggle/input/agricultural-pests-image-dataset/beetle/beetle (171).jpg,beetle
/kaggle/input/agricultural-pests-image-dataset/moth/moth (174).jpg,moth
/kaggle/input/agricultural-pests-image-dataset/earwig/earwig (45).jpg,earwig
/kaggle/input/agricultural-pests-image-dataset/catterpillar/catterpillar (343).jpg,catterpillar
/kaggle/input/agricultural-pests-image-dataset/ants/ants (353).jpg,ants
/kaggle/input/agricultural-pests-image-dataset/grasshopper/grasshopper (217).jpg,grasshopper
/kaggle/input/agricultural-pests-image-dataset/bees/bees (384).jpg,bees
/kaggle/input/agricultural-pests-image-dataset/earthworms/earthworms (80).jpg,earthworms
/kaggle/input/agricultural-pests-image-dataset/grasshopper/grasshopper (392).jpg,grasshopper
/kaggle/input/agricultural-pests-image-dataset/bees/bees (475).jpg,bees
/kaggle/input/agricultural-pests-image-dataset/beetle/beetle (154).jpg,beetle
/kaggle/input/agricultural-pests-image-dataset/slug/slug (9).jpg,slug
/kaggle/input/agricultural-pests-image-dataset/weevil/Weevil (322).jpg,weevil
/kaggle/input/agricultural-pests-image-dataset/slug/slug (369).jpg,slug
/kaggle/input/agricultural-pests-image-dataset/earwig/earwig (434).jpg,earwig
/kaggle/input/agricultural-pests-image-dataset/earwig/earwig (153).jpg,earwig
/kaggle/input/agricultural-pests-image-dataset/catterpillar/catterpillar (436).jpg,catterpillar
/kaggle/input/agricultural-pests-image-dataset/wasp/wasp (508).jpg,wasp
/kaggle/input/agricultural-pests-image-dataset/moth/moth (360).jpg,moth
/kaggle/input/agricultural-pests-image-dataset/snail/snail (336).jpg,snail
/kaggle/input/agricultural-pests-image-dataset/ants/ants (267).jpg,ants
/kaggle/input/agricultural-pests-image-dataset/weevil/Weevil (69).jpg,weevil
/kaggle/input/agricultural-pests-image-dataset/weevil/Weevil (53).jpg,weevil
/kaggle/input/agricultural-pests-image-dataset/slug/slug (22).jpg,slug
/kaggle/input/agricultural-pests-image-dataset/earwig/earwig (78).jpg,earwig
/kaggle/input/agricultural-pests-image-dataset/bees/bees (52).jpg,bees
/kaggle/input/agricultural-pests-image-dataset/bees/bees (418).jpg,bees
/kaggle/input/agricultural-pests-image-dataset/grasshopper/grasshopper (237).jpg,grasshopper
/kaggle/input/agricultural-pests-image-dataset/bees/bees (241).jpg,bees
/kaggle/input/agricultural-pests-image-dataset/earwig/earwig (53).jpg,earwig
/kaggle/input/agricultural-pests-image-dataset/bees/bees (42).jpg,bees
/kaggle/input/agricultural-pests-image-dataset/catterpillar/catterpillar (180).jpg,catterpillar
/kaggle/input/agricultural-pests-image-dataset/wasp/wasp (716).jpg,wasp
/kaggle/input/agricultural-pests-image-dataset/ants/ants (320).jpg,ants
/kaggle/input/agricultural-pests-image-dataset/beetle/beetle (279).jpg,beetle
/kaggle/input/agricultural-pests-image-dataset/earthworms/earthworms (122).jpg,earthworms
/kaggle/input/agricultural-pests-image-dataset/catterpillar/catterpillar (94).jpg,catterpillar
/kaggle/input/agricultural-pests-image-dataset/weevil/Weevil (371).jpg,weevil
/kaggle/input/agricultural-pests-image-dataset/earwig/earwig (444).jpg,earwig
/kaggle/input/agricultural-pests-image-dataset/earthworms/earthworms (59).jpg,earthworms
/kaggle/input/agricultural-pests-image-dataset/slug/slug (196).jpg,slug
/kaggle/input/agricultural-pests-image-dataset/grasshopper/grasshopper (227).jpg,grasshopper
/kaggle/input/agricultural-pests-image-dataset/moth/moth (257).jpg,moth
/kaggle/input/agricultural-pests-image-dataset/wasp/wasp (674).jpg,wasp
/kaggle/input/agricultural-pests-image-dataset/wasp/wasp (937).jpg,wasp
/kaggle/input/agricultural-pests-image-dataset/catterpillar/catterpillar (356).jpg,catterpillar
/kaggle/input/agricultural-pests-image-dataset/ants/ants (246).jpg,ants
/kaggle/input/agricultural-pests-image-dataset/bees/bees (25).jpg,bees
/kaggle/input/agricultural-pests-image-dataset/bees/bees (309).jpg,bees
/kaggle/input/agricultural-pests-image-dataset/weevil/Weevil (486).jpg,weevil
/kaggle/input/agricultural-pests-image-dataset/catterpillar/catterpillar (162).jpg,catterpillar
/kaggle/input/agricultural-pests-image-dataset/earthworms/earthworms (285).jpg,earthworms
/kaggle/input/agricultural-pests-image-dataset/ants/ants (441).jpg,ants
/kaggle/input/agricultural-pests-image-dataset/beetle/beetle (67).jpg,beetle
/kaggle/input/agricultural-pests-image-dataset/beetle/beetle (156).jpg,beetle
/kaggle/input/agricultural-pests-image-dataset/slug/slug (5).jpg,slug
/kaggle/input/agricultural-pests-image-dataset/earwig/earwig (435).jpg,earwig
/kaggle/input/agricultural-pests-image-dataset/ants/ants (302).jpg,ants
/kaggle/input/agricultural-pests-image-dataset/ants/ants (220).jpg,ants
/kaggle/input/agricultural-pests-image-dataset/catterpillar/catterpillar (11).jpg,catterpillar
/kaggle/input/agricultural-pests-image-dataset/wasp/wasp (636).jpg,wasp
/kaggle/input/agricultural-pests-image-dataset/bees/bees (231).jpg,bees
/kaggle/input/agricultural-pests-image-dataset/slug/slug (300).jpg,slug
/kaggle/input/agricultural-pests-image-dataset/ants/ants (472).jpg,ants
/kaggle/input/agricultural-pests-image-dataset/moth/moth (280).jpg,moth
/kaggle/input/agricultural-pests-image-dataset/weevil/Weevil (298).jpg,weevil
/kaggle/input/agricultural-pests-image-dataset/weevil/Weevil (326).jpg,weevil
/kaggle/input/agricultural-pests-image-dataset/ants/ants (316).jpg,ants
/kaggle/input/agricultural-pests-image-dataset/snail/snail (347).jpg,snail
/kaggle/input/agricultural-pests-image-dataset/earwig/earwig (72).jpg,earwig
/kaggle/input/agricultural-pests-image-dataset/beetle/beetle (46).jpg,beetle
/kaggle/input/agricultural-pests-image-dataset/ants/ants (86).jpg,ants
/kaggle/input/agricultural-pests-image-dataset/earwig/earwig (382).jpg,earwig
/kaggle/input/agricultural-pests-image-dataset/ants/ants (155).jpg,ants
/kaggle/input/agricultural-pests-image-dataset/grasshopper/grasshopper (145).jpg,grasshopper
/kaggle/input/agricultural-pests-image-dataset/bees/bees (125).jpg,bees
/kaggle/input/agricultural-pests-image-dataset/earwig/earwig (446).jpg,earwig
/kaggle/input/agricultural-pests-image-dataset/earwig/earwig (335).jpg,earwig
/kaggle/input/agricultural-pests-image-dataset/moth/moth (320).jpg,moth
/kaggle/input/agricultural-pests-image-dataset/catterpillar/catterpillar (259).jpg,catterpillar
/kaggle/input/agricultural-pests-image-dataset/ants/ants (293).jpg,ants
/kaggle/input/agricultural-pests-image-dataset/wasp/wasp (656).jpg,wasp
/kaggle/input/agricultural-pests-image-dataset/earthworms/earthworms (232).jpg,earthworms
/kaggle/input/agricultural-pests-image-dataset/earwig/earwig (252).jpg,earwig
/kaggle/input/agricultural-pests-image-dataset/catterpillar/catterpillar (451).jpg,catterpillar
/kaggle/input/agricultural-pests-image-dataset/earwig/earwig (268).jpg,earwig
/kaggle/input/agricultural-pests-image-dataset/catterpillar/catterpillar (349).jpg,catterpillar
/kaggle/input/agricultural-pests-image-dataset/catterpillar/catterpillar (262).jpg,catterpillar
/kaggle/input/agricultural-pests-image-dataset/weevil/Weevil (427).jpg,weevil
/kaggle/input/agricultural-pests-image-dataset/snail/snail (217).jpg,snail
/kaggle/input/agricultural-pests-image-dataset/ants/ants (222).jpg,ants
/kaggle/input/agricultural-pests-image-dataset/beetle/beetle (370).jpg,beetle
/kaggle/input/agricultural-pests-image-dataset/earthworms/earthworms (140).jpg,earthworms
/kaggle/input/agricultural-pests-image-dataset/slug/slug (120).jpg,slug
/kaggle/input/agricultural-pests-image-dataset/weevil/Weevil (324).jpg,weevil
/kaggle/input/agricultural-pests-image-dataset/beetle/beetle (131).jpg,beetle
/kaggle/input/agricultural-pests-image-dataset/wasp/wasp (662).jpg,wasp
/kaggle/input/agricultural-pests-image-dataset/bees/bees (412).jpg,bees
/kaggle/input/agricultural-pests-image-dataset/ants/ants (140).jpg,ants
/kaggle/input/agricultural-pests-image-dataset/slug/slug (377).jpg,slug
/kaggle/input/agricultural-pests-image-dataset/bees/bees (47).jpg,bees
/kaggle/input/agricultural-pests-image-dataset/moth/moth (5).jpg,moth
/kaggle/input/agricultural-pests-image-dataset/grasshopper/grasshopper (394).jpg,grasshopper
/kaggle/input/agricultural-pests-image-dataset/bees/bees (196).jpg,bees
/kaggle/input/agricultural-pests-image-dataset/wasp/wasp (579).jpg,wasp
/kaggle/input/agricultural-pests-image-dataset/bees/bees (431).jpg,bees
/kaggle/input/agricultural-pests-image-dataset/snail/snail (375).jpg,snail
/kaggle/input/agricultural-pests-image-dataset/catterpillar/catterpillar (313).jpg,catterpillar
/kaggle/input/agricultural-pests-image-dataset/snail/snail (22).jpg,snail
/kaggle/input/agricultural-pests-image-dataset/earwig/earwig (415).jpg,earwig
/kaggle/input/agricultural-pests-image-dataset/earthworms/earthworms (237).jpg,earthworms
/kaggle/input/agricultural-pests-image-dataset/beetle/beetle (322).jpg,beetle
/kaggle/input/agricultural-pests-image-dataset/wasp/wasp (651).jpg,wasp
/kaggle/input/agricultural-pests-image-dataset/weevil/Weevil (349).jpg,weevil
/kaggle/input/agricultural-pests-image-dataset/wasp/wasp (877).jpg,wasp
/kaggle/input/agricultural-pests-image-dataset/snail/snail (297).jpg,snail
/kaggle/input/agricultural-pests-image-dataset/snail/snail (174).jpg,snail
/kaggle/input/agricultural-pests-image-dataset/grasshopper/grasshopper (111).jpg,grasshopper
/kaggle/input/agricultural-pests-image-dataset/beetle/beetle (302).jpg,beetle
/kaggle/input/agricultural-pests-image-dataset/wasp/wasp (930).jpg,wasp
/kaggle/input/agricultural-pests-image-dataset/weevil/Weevil (271).jpg,weevil
/kaggle/input/agricultural-pests-image-dataset/bees/bees (129).jpg,bees
/kaggle/input/agricultural-pests-image-dataset/weevil/Weevil (283).jpg,weevil
/kaggle/input/agricultural-pests-image-dataset/bees/bees (371).jpg,bees
/kaggle/input/agricultural-pests-image-dataset/grasshopper/grasshopper (112).jpg,grasshopper
/kaggle/input/agricultural-pests-image-dataset/grasshopper/grasshopper (199).jpg,grasshopper
/kaggle/input/agricultural-pests-image-dataset/earthworms/earthworms (288).jpg,earthworms
/kaggle/input/agricultural-pests-image-dataset/wasp/wasp (837).jpg,wasp
/kaggle/input/agricultural-pests-image-dataset/ants/ants (114).jpg,ants
/kaggle/input/agricultural-pests-image-dataset/earwig/earwig (455).jpg,earwig
/kaggle/input/agricultural-pests-image-dataset/earthworms/earthworms (203).jpg,earthworms
/kaggle/input/agricultural-pests-image-dataset/wasp/wasp (733).jpg,wasp
